Class,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,lbp0,lbp1,lbp2,lbp3,lbp4,lbp5,lbp6,lbp7,lbp8,lbp9
AU,15465,74,71,20,30,28,128,19,10,31,7044,4613,2230,1077,510,237,94,48,19,4,4488,4487,3297,1836,957,461,200,91,41,18,0.3528077141036411,0.12138400453083471,0.018718094156624045,0.0794100964220414,0.1117413499653011,0.01985252410551035,0.07146908677983725,0.1684628474096164,0.046511627904338534,0.009642654565533598
AU,15426,75,71,20,30,40,139,30,14,31,9240,3554,1626,801,350,186,68,32,15,4,5530,4790,2644,1405,763,388,209,86,44,17,0.360946745542714,0.13501882731925666,0.032275416889065336,0.062399139318859646,0.13017751478589684,0.024206562666799,0.06670252823740169,0.1490048413045183,0.025820333511252267,0.013448090370443888
AU,15844,0,0,0,0,0,17,7,0,8,12019,2405,873,365,120,60,21,8,3,2,5647,5027,2533,1282,682,368,198,93,32,14,0.4027777777544689,0.1383101851771811,0.030671296294521335,0.07986111110648951,0.08796296295787251,0.017361111110106416,0.055555555552340534,0.1336805555478194,0.03356481481287241,0.020254629628457487
AU,15844,0,0,0,0,0,17,7,0,8,10062,3625,1305,526,189,100,36,23,8,2,3981,4936,3250,1845,980,489,235,110,34,16,0.3680911680701942,0.13048433047689548,0.02450142450002841,0.06552706552333179,0.10199430198849035,0.01823361823257928,0.07350427350008522,0.16980056979089456,0.033048433046549947,0.014814814813970666
AU,15734,5,0,0,0,15,75,21,7,19,13110,2019,328,196,122,72,13,9,4,3,7925,5060,1761,634,240,138,84,24,6,4,0.3660762211290351,0.1465378421821504,0.03811057434041274,0.07514761137546175,0.09071390230323596,0.017176596885819826,0.05528717122623257,0.17713365538501696,0.019860440149229174,0.01395598496972861
AU,15432,74,68,18,30,40,139,30,14,31,11633,2587,796,454,226,119,37,16,6,2,7129,4925,1991,871,466,255,148,52,28,11,0.3637846655593374,0.15116911364050195,0.030995106034203638,0.06144643827833352,0.11473626970556083,0.023382272973171164,0.05655247416766979,0.1576943991213869,0.02392604676324491,0.01631321370221244
AU,15820,0,0,0,0,0,28,10,0,18,10177,3953,1067,393,160,85,21,12,5,3,2543,4548,3840,2447,1392,688,294,97,23,4,0.34999999997965114,0.11627906976068145,0.013953488371281773,0.08953488371572471,0.06511627906598161,0.01046511627846133,0.07848837208845998,0.2093023255692266,0.05523255813632368,0.011627906976068145
AU,15866,0,0,0,0,0,0,0,0,10,13082,1825,479,254,123,52,36,17,5,3,7300,5186,1951,763,358,148,98,45,15,12,0.39051296191999374,0.14947600661061908,0.046332046329490784,0.10148924434078933,0.06067291781242841,0.01709873138350255,0.056260341971524526,0.1367898510680204,0.02482073910508435,0.016547159403389567
AU,15854,0,0,0,0,0,12,2,0,8,9508,4229,1352,439,187,75,50,29,3,4,3074,4520,3523,2251,1267,715,325,139,46,16,0.362120309686592,0.11078022631859558,0.01250744490693821,0.07683144728547757,0.08219178081702253,0.014294222750786525,0.09231685526549631,0.18761167360407316,0.048243001783904525,0.013103037521554315
AU,15835,6,3,2,0,0,18,2,0,10,10521,3981,924,291,99,39,8,8,3,2,3635,5157,3642,1983,864,384,139,39,25,8,0.35664739882331514,0.11965317918383507,0.022543352599852986,0.08670520230712686,0.08150289016869926,0.010982658958902736,0.06878612716365398,0.18786127166544153,0.05491329479451368,0.010404624276855224
AU,15743,6,0,0,0,4,71,14,0,38,10913,3656,832,289,121,45,12,6,0,2,2517,4195,3511,2592,1600,885,385,151,34,6,0.34084344307678544,0.10051993067010283,0.013287117272484857,0.08549971114468517,0.06816868861535709,0.00924321201564164,0.09820912766619241,0.19757365683434006,0.0722125938722003,0.014442518774440062
AU,15845,0,0,0,0,0,13,1,3,14,14586,1096,135,31,9,7,5,3,2,2,6620,4715,2149,1185,633,322,169,67,14,2,0.3593380614487311,0.12245862883581757,0.027895981086151492,0.07423167848348787,0.08368794325845448,0.02364066193741652,0.06430260046977293,0.19669030731930542,0.03498817966737645,0.01276595744620492
AU,15857,2,0,0,0,1,7,6,0,3,12769,2066,659,241,70,27,23,10,8,3,6847,4935,2125,1007,477,248,130,67,26,14,0.35907335905602933,0.1385135135068285,0.034749034747357674,0.08397683397278105,0.07046332045991972,0.021718146717098548,0.04922779922542337,0.19932432431470443,0.025579150577916068,0.017374517373678837
AU,4957,6344,2873,1061,438,144,42,13,3,1,10876,3184,1160,435,127,49,25,11,7,2,5748,4957,2505,1343,681,345,194,77,22,4,0.3915975103531329,0.14678423235753194,0.026970954355447562,0.0928423236466368,0.07313278007919435,0.02178423236401534,0.06224066389718669,0.1390041493703836,0.0300829875503069,0.015560165974296672
